Data_registro;Hora;Ano;Mês;Dia;Familia;Especie;Nome_comum;Origem;Cor;Localidade;Município;Tipo_registro;Precisão da Coordenada;Observação;Identificador;Latitude_Y;Longitude_X;lat;lon;Rodovia;Rodovia_ou_Local
21/11/2025;;2025;11;21;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;;Sinimbu;Vestígio;Exata;;Alan, 2026;-29,3505;-52,6531;-29.3505;-52.6531;;Área: Sinimbu
05/05/26;;2026;5;5;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;RS-357;Caçapava do Sul;Vestígio;Exata;;Bibiana, 2026;-30,6704;-53,6030;-30.6704;-53.603;RS-357;RS-357
05/08/26;;2026;5;8;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Melânico;BR - 293;Canguçu;Vestígio;Exata;;Felipe Peters, 2026;-31,728689;-52,844556;-31.728689;-52.844556;BR-293;BR-293
15/05/2026;;2026;5;15;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;BR-392;Morro Redondo;Vestígio;Exata;;Rogério, 2026;-31,5624;-52,5463;-31.5624;-52.5463;BR-392;BR-392
15/05/2026;;2026;5;15;Felidae;Leopardus wiedii;Gato-maracajá;Silvestre;Pintado;;Capitão;Vestígio;Exata;;Rogério, 2026;-29,2987;-51,9946;-29.2987;-51.9946;;Área: Capitão
16/05/2026;;2026;5;16;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Melânico;BR-293;Dom Pedrito;Vestígio;Exata;Macho;Ana Paula Albano, 2026;-30,940833;-54,730833;-30.940833;-54.730833;BR-293;BR-293
17/05/2026;;2026;5;17;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-290;Uruguaiana;Vestígio;Exata;Macho;Rogério, 2026;-29,887222;-56,744722;-29.887222;-56.744722;BR-290;BR-290
17/05/2026;;2026;5;17;Felidae;Leopardus guttulus;Gato-mato-do-sul;Silvestre;Pintado;RS-223;Selbach;Vestígio;Exata;;Marina, 2026;-28,646097;-52,936283;-28.646097;-52.936283;RS-223;RS-223
19/05/2026;;2026;5;19;Felidae;Leopardus guttulus;Gato-mato-do-sul;Silvestre;Pintado;;Horizontina;Vestígio;Exata;;Rogério, 2026;-27,6011;-54,3803;-27.6011;-54.3803;;Área: Horizontina
22/05/2026;;2026;5;22;Felidae;Leopardus munoai;Gato-palheiro-pampeano;Silvestre;Pintado;RS-168;Santiago;Vestígio;Exata;Coletado - PATRAM;Rogério, 2026;-29,0964;-54,9209;-29.0964;-54.9209;RS-168;RS-168
30/05/2026;;2026;5;30;Felidae;Leopardus geoffroyi;Gato-do-mato-grande;Silvestre;Pintado;BR-290;Cachoeira do Sul;Vestígio;Exata;;Rogério, 2026;-30,2889;-52,9646;-30.2889;-52.9646;BR-290;BR-290
